"model","pk","fields__question_research","fields__question_article","fields__question_text","fields__question_id","fields__question_madeby","fields__question_pubdate","fields__question_deleted","fields__question_deletedate"
"question.genquestion","73","1","2","What's the whole point of this article? Is this research worth publishing?","gen1","9","2018-06-15T05:15:39.730Z","False","2018-06-15T05:15:39.730Z"
"question.genquestion","74","1","2","What is the gender of the participants?","gen1","3","2018-06-15T05:16:54.379Z","True","2018-06-15T05:18:14.451Z"
"question.genquestion","75","1","1","why men only? including women would increase the size of data, but is there any reason to exclude them?","gen1","18","2018-06-15T05:17:30.648Z","False","2018-06-15T05:17:30.648Z"
"question.genquestion","77","1","2","Could the fact that women were not affected suggest a 'correlation doesn't imply causation' situation?","gen1","2","2018-06-15T05:19:07.185Z","False","2018-06-15T05:19:07.185Z"
"question.genquestion","78","1","2","in the beginning they mention it is a study on male smoker. In the results they also talk about women. Confusing information","gen2","3","2018-06-15T05:19:51.012Z","True","2018-06-15T05:20:01.970Z"
"question.genquestion","79","1","2","What is the proportion of male and female?","gen3","3","2018-06-15T05:20:31.763Z","False","2018-06-15T05:20:31.763Z"
"question.genquestion","80","1","3","I wonder why the people who selectively took vitamin B pills for a long period made that decision from the start. Maybe they already had health issues that needed vitamin B, and that health issue ended up giving them lung cancer? ","gen1","5","2018-06-15T05:20:40.261Z","False","2018-06-15T05:20:40.261Z"
"question.genquestion","81","1","3","Can the fact that women were not affected imply that the correlation between vitamin B pills and lung cancer might not be causal?","gen1","2","2018-06-15T05:25:27.859Z","False","2018-06-15T05:25:27.859Z"
"question.genquestion","82","1","3","the number of subjects in the research. ","gen1","18","2018-06-15T05:27:38.903Z","False","2018-06-15T05:27:38.903Z"
"question.genquestion","83","1","1","long-term ... how long for was the data collected?","gen1","3","2018-06-15T05:33:00.389Z","False","2018-06-15T05:33:00.389Z"
"question.genquestion","84","1","1","How many people are there involved?","gen2","3","2018-06-15T05:33:31.201Z","False","2018-06-15T05:33:31.201Z"
"question.genquestion","85","1","1","Why women are not considered in the study?","gen3","3","2018-06-15T05:33:44.404Z","False","2018-06-15T05:33:44.404Z"
"question.genquestion","86","1","3","Is there any other factors occur high risk of cancer?","gen1","6","2018-06-15T05:37:19.595Z","False","2018-06-15T05:37:19.595Z"
"question.genquestion","87","1","3","Why the UL and EU didn't discover the link b/w vitamin B and cancer development?","gen2","6","2018-06-15T05:38:38.093Z","False","2018-06-15T05:38:38.093Z"
"question.genquestion","88","1","3","Double risk compared to who?","gen1","3","2018-06-15T05:38:48.808Z","False","2018-06-15T05:38:48.808Z"
"question.genquestion","89","1","3","How was the proportion of male and female?","gen2","3","2018-06-15T05:40:21.296Z","False","2018-06-15T05:40:21.296Z"
